"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/01/2024","56,49","56,23","-0,51","55,95","56,50","333,49M"
"29/01/2024","56,96","56,52","-0,79","56,06","57,03","318,11M"
"26/01/2024","56,64","56,97","0,69","56,55","56,99","465,62M"
"25/01/2024","56,75","56,58","-0,12","56,53","57,00","340,45M"
"24/01/2024","56,68","56,65","0,19","56,44","57,04","377,98M"
"23/01/2024","55,81","56,54","1,78","55,55","56,59","566,35M"
"22/01/2024","56,07","55,55","-0,66","55,36","56,13","364,44M"
"19/01/2024","55,53","55,92","1,05","55,28","56,35","705,76M"
"18/01/2024","56,05","55,34","-1,16","55,26","56,11","406,64M"
"17/01/2024","55,81","55,99","0,20","55,63","56,10","541,22M"
"16/01/2024","55,96","55,88","-0,57","55,77","56,47","502,45M"
"15/01/2024","55,10","56,20","1,96","55,00","56,20","468,87M"
"12/01/2024","54,80","55,12","0,58","54,31","55,20","277,93M"
"11/01/2024","54,40","54,80","0,68","54,22","54,85","368,23M"
"10/01/2024","54,17","54,43","-0,17","54,17","54,67","268,90M"
"09/01/2024","55,09","54,52","-1,50","54,28","55,15","419,56M"
"08/01/2024","55,05","55,35","0,86","54,78","55,48","499,60M"
"05/01/2024","54,18","54,88","1,20","54,00","55,13","449,13M"
"04/01/2024","54,75","54,23","-1,06","54,12","54,90","441,49M"
"03/01/2024","54,68","54,81","0,09","54,50","55,07","446,28M"
"02/01/2024","55,12","54,76","-1,14","54,45","55,28","447,61M"
"28/12/2023","54,86","55,39","0,97","54,69","55,39","322,03M"
"27/12/2023","54,80","54,86","-0,15","54,58","54,97","184,79M"
"26/12/2023","54,44","54,94","0,92","54,30","54,96","217,93M"
"22/12/2023","54,50","54,44","0,28","54,07","54,62","397,20M"
"21/12/2023","54,80","54,29","0,15","53,89","54,80","543,17M"
"20/12/2023","54,85","54,21","-1,17","54,06","55,00","425,78M"
"19/12/2023","54,57","54,85","0,37","54,30","54,92","422,80M"
"18/12/2023","54,67","54,65","0,07","54,17","55,03","422,96M"
"15/12/2023","53,25","54,61","2,40","52,82","54,61","983,86M"
"14/12/2023","53,50","53,33","0,66","52,40","53,56","978,24M"
"13/12/2023","52,47","52,98","0,91","51,64","53,26","946,12M"
"12/12/2023","53,80","52,50","-3,05","52,41","53,80","663,83M"
"11/12/2023","54,16","54,15","-0,02","53,78","54,42","310,50M"
"08/12/2023","53,61","54,16","1,08","53,37","54,31","561,24M"
"07/12/2023","52,72","53,58","1,62","52,72","53,60","308,19M"
"06/12/2023","54,09","52,73","-2,14","52,62","54,19","467,58M"
"05/12/2023","53,87","53,88","0,00","53,72","54,25","316,69M"
"04/12/2023","54,01","53,88","-0,39","53,67","54,52","375,80M"
"01/12/2023","54,06","54,09","0,20","53,59","54,51","511,19M"
"30/11/2023","52,45","53,98","2,92","52,45","54,09","949,66M"
"29/11/2023","52,49","52,45","0,15","52,08","52,77","550,85M"
"28/11/2023","51,69","52,37","1,45","51,68","52,52","512,82M"
