Data,Fechamento
30/01/2024,27.91
29/01/2024,27.95
26/01/2024,27.78
25/01/2024,27.74
24/01/2024,28.0
23/01/2024,27.64
22/01/2024,27.57
19/01/2024,27.97
18/01/2024,27.93
17/01/2024,27.91
16/01/2024,28.05
15/01/2024,28.48
12/01/2024,28.14
11/01/2024,28.21
10/01/2024,28.23
09/01/2024,28.2
08/01/2024,28.24
05/01/2024,28.34
04/01/2024,27.95
03/01/2024,28.54
02/01/2024,28.6
28/12/2023,28.81
27/12/2023,28.78
26/12/2023,28.43
22/12/2023,28.28
21/12/2023,28.05
20/12/2023,28.09
19/12/2023,28.0
18/12/2023,28.04
15/12/2023,27.9
14/12/2023,28.28
13/12/2023,27.83
12/12/2023,27.18
11/12/2023,26.94
08/12/2023,27.27
07/12/2023,26.8
06/12/2023,26.6
05/12/2023,27.31
04/12/2023,26.8
01/12/2023,26.9
30/11/2023,26.94
29/11/2023,26.63
28/11/2023,26.18
27/11/2023,26.11
24/11/2023,26.21
23/11/2023,26.11
22/11/2023,26.04
21/11/2023,25.6
20/11/2023,25.79
17/11/2023,25.4
16/11/2023,25.62
14/11/2023,25.29
13/11/2023,24.0
10/11/2023,25.08
09/11/2023,24.73
08/11/2023,24.77
07/11/2023,24.7
03/11/2023,23.89
01/11/2023,23.26
31/10/2023,22.76
30/10/2023,22.92
27/10/2023,23.07
26/10/2023,23.58
25/10/2023,22.89
24/10/2023,22.89
23/10/2023,23.05
20/10/2023,23.1
19/10/2023,23.32
18/10/2023,23.07
17/10/2023,23.42
16/10/2023,23.64
13/10/2023,23.69
11/10/2023,23.84
10/10/2023,23.6
09/10/2023,23.28
06/10/2023,23.56
05/10/2023,23.12
04/10/2023,23.08
03/10/2023,22.71
02/10/2023,22.84
29/09/2023,22.94
28/09/2023,23.05
27/09/2023,22.43
26/09/2023,22.78
25/09/2023,23.0
22/09/2023,22.81
21/09/2023,23.15
20/09/2023,23.57
19/09/2023,23.53
18/09/2023,23.73
15/09/2023,23.46
14/09/2023,23.52
13/09/2023,23.6
12/09/2023,23.31
11/09/2023,23.23
08/09/2023,22.82
06/09/2023,22.89
05/09/2023,23.07
04/09/2023,23.27
01/09/2023,23.44
31/08/2023,23.54
30/08/2023,23.5
29/08/2023,23.97
28/08/2023,23.8
25/08/2023,23.3
24/08/2023,23.3
10/08/2023,23.76
09/08/2023,23.56
08/08/2023,24.3
07/08/2023,24.36
04/08/2023,24.39
03/08/2023,24.5
02/08/2023,24.98
01/08/2023,24.85
31/07/2023,24.83
28/07/2023,24.67
27/07/2023,24.73
26/07/2023,24.95
25/07/2023,24.98
24/07/2023,24.72
21/07/2023,25.35
20/07/2023,24.69
19/07/2023,24.62
18/07/2023,24.53
17/07/2023,24.73
14/07/2023,24.39
13/07/2023,24.83
12/07/2023,24.54
11/07/2023,24.8
10/07/2023,25.09
07/07/2023,25.17
06/07/2023,24.89
05/07/2023,24.87
04/07/2023,24.71
03/07/2023,25.0
10/03/2023,20.89
09/03/2023,21.53
08/03/2023,21.39
07/03/2023,21.21
03/03/2023,20.9
02/03/2023,21.25
01/03/2023,21.4
28/02/2023,21.82
27/02/2023,21.5
24/02/2023,21.86
23/02/2023,22.51
22/02/2023,22.52
17/02/2023,22.78
16/02/2023,23.0
15/02/2023,22.61
14/02/2023,22.33
13/02/2023,22.83
10/02/2023,21.85
09/02/2023,21.99
08/02/2023,22.39
07/02/2023,21.16
06/02/2023,21.6
03/02/2023,21.4
02/02/2023,21.2
01/02/2023,21.25
31/01/2023,21.51
30/01/2023,21.27
27/01/2023,21.3
26/01/2023,21.72
25/01/2023,22.1
24/01/2023,21.7
23/01/2023,22.0
19/01/2023,22.7
18/01/2023,22.72
17/01/2023,22.88
16/01/2023,22.35
13/01/2023,22.55
12/01/2023,23.05
11/01/2023,22.96
10/01/2023,22.4
09/01/2023,22.02
06/01/2023,21.84
05/01/2023,21.87
04/01/2023,21.03
03/01/2023,21.29
02/01/2023,21.34
