"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/01/2024","3,24","2,87","-26,97","2,52","3,40","221,57M"
"29/01/2024","5,80","3,93","-33,61","3,85","5,81","254,01M"
"26/01/2024","5,63","5,92","-8,07","5,51","6,02","154,37M"
"25/01/2024","6,75","6,44","-3,16","6,44","6,97","89,55M"
"24/01/2024","6,94","6,65","-3,34","6,64","7,02","53,42M"
"23/01/2024","6,89","6,88","0,88","6,81","7,01","57,05M"
"22/01/2024","7,20","6,82","-3,13","6,73","7,24","72,87M"
"19/01/2024","6,70","7,04","6,02","6,58","7,18","90,50M"
"18/01/2024","6,80","6,64","-1,63","6,61","6,94","85,06M"
"17/01/2024","6,85","6,75","-2,17","6,64","6,98","61,68M"
"16/01/2024","7,05","6,90","-3,36","6,70","7,18","131,84M"
"15/01/2024","6,79","7,14","-6,05","6,61","7,20","164,46M"
"12/01/2024","7,87","7,60","-4,28","7,57","8,06","76,67M"
"11/01/2024","7,95","7,94","0,13","7,71","8,09","71,36M"
"10/01/2024","8,16","7,93","-2,10","7,89","8,16","45,93M"
"09/01/2024","8,14","8,10","-1,58","8,04","8,26","34,27M"
"08/01/2024","7,93","8,23","2,75","7,91","8,44","63,77M"
"05/01/2024","7,94","8,01","1,01","7,81","8,14","48,33M"
"04/01/2024","8,09","7,93","-2,58","7,90","8,14","42,87M"
"03/01/2024","8,30","8,14","-2,52","8,12","8,43","47,81M"
"02/01/2024","8,93","8,35","-6,91","8,31","8,93","60,12M"
"28/12/2023","9,11","8,97","-2,39","8,95","9,18","61,52M"
"27/12/2023","9,10","9,19","0,33","9,08","9,29","40,72M"
"26/12/2023","9,14","9,16","0,22","9,02","9,18","31,40M"
"22/12/2023","9,10","9,14","0,88","8,87","9,17","45,52M"
"21/12/2023","8,70","9,06","5,35","8,66","9,07","67,46M"
"20/12/2023","8,69","8,60","-1,83","8,50","8,84","53,95M"
"19/12/2023","8,90","8,76","-0,79","8,70","9,17","73,39M"
"18/12/2023","8,88","8,83","0,23","8,75","8,94","47,85M"
"15/12/2023","9,09","8,81","-2,54","8,62","9,15","75,78M"
"14/12/2023","8,94","9,04","1,92","8,94","9,29","77,14M"
"13/12/2023","8,25","8,87","7,52","8,25","8,87","76,38M"
"12/12/2023","8,47","8,25","-1,79","8,22","8,49","59,84M"
"11/12/2023","8,50","8,40","-2,10","8,36","8,60","42,68M"
"08/12/2023","8,83","8,58","-2,05","8,55","8,88","46,59M"
"07/12/2023","8,50","8,76","3,91","8,47","8,80","55,25M"
"06/12/2023","8,42","8,43","0,96","8,42","8,67","67,32M"
"05/12/2023","8,35","8,35","0,60","8,24","8,52","71,51M"
"04/12/2023","9,05","8,30","-9,19","8,30","9,12","113,11M"
"01/12/2023","9,10","9,14","0,66","9,02","9,19","45,28M"
"30/11/2023","9,15","9,08","0,78","8,88","9,16","69,51M"
"29/11/2023","9,30","9,01","-5,16","9,01","9,45","87,11M"
"28/11/2023","9,45","9,50","0,53","9,31","9,65","81,32M"
"27/11/2023","9,21","9,45","3,85","9,11","9,46","77,90M"
"24/11/2023","8,65","9,10","4,00","8,51","9,10","107,34M"
"23/11/2023","9,02","8,75","-1,80","8,75","9,07","44,87M"
"22/11/2023","9,07","8,91","0,56","8,86","9,36","94,61M"
"21/11/2023","9,10","8,86","-3,06","8,85","9,17","59,66M"
"20/11/2023","9,16","9,14","0,11","9,06","9,27","42,23M"
"17/11/2023","9,20","9,13","-0,11","9,11","9,33","60,24M"
"16/11/2023","9,17","9,14","0,11","9,11","9,64","123,37M"
"14/11/2023","8,77","9,13","4,46","8,77","9,15","104,34M"
"13/11/2023","8,74","8,74","0,00","8,63","8,86","67,72M"
"10/11/2023","8,41","8,74","4,92","8,40","8,77","135,72M"
"09/11/2023","8,14","8,33","3,22","8,13","8,59","103,87M"
"08/11/2023","8,05","8,07","0,25","7,97","8,30","100,63M"
"07/11/2023","8,15","8,05","-1,35","7,90","8,16","101,05M"
"06/11/2023","8,80","8,16","-7,06","8,16","8,87","116,20M"
"03/11/2023","8,96","8,78","0,92","8,69","9,09","117,59M"
"01/11/2023","8,50","8,70","1,75","8,37","8,70","96,38M"
"31/10/2023","7,88","8,55","8,92","7,66","8,55","146,14M"
"30/10/2023","7,91","7,85","1,03","7,70","8,02","90,63M"
"27/10/2023","8,16","7,77","-5,59","7,76","8,44","138,11M"
"26/10/2023","7,60","8,23","8,29","7,53","8,23","120,34M"
"25/10/2023","7,51","7,60","1,60","7,40","7,70","93,77M"
"24/10/2023","7,37","7,48","2,75","7,37","7,58","70,75M"
"23/10/2023","6,85","7,28","5,51","6,81","7,44","88,54M"
"20/10/2023","6,80","6,90","0,29","6,74","7,00","65,48M"
"19/10/2023","7,20","6,88","-4,97","6,88","7,36","104,68M"
"18/10/2023","7,68","7,24","-7,18","7,22","7,69","111,01M"
"17/10/2023","7,42","7,80","4,28","7,35","7,80","130,36M"
"16/10/2023","7,05","7,48","6,55","7,00","7,48","68,31M"
"13/10/2023","6,86","7,02","-1,27","6,71","7,21","94,44M"
