"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/01/2024","27,95","27,91","-0,14","27,73","28,13","229,34K"
"29/01/2024","28,02","27,95","0,61","27,79","28,10","207,21K"
"26/01/2024","27,74","27,78","0,14","27,65","28,16","189,69K"
"25/01/2024","27,98","27,74","-0,93","27,68","28,01","197,29K"
"24/01/2024","27,80","28,00","1,30","27,74","28,16","228,61K"
"23/01/2024","27,71","27,64","0,25","27,52","27,90","258,52K"
"22/01/2024","28,00","27,57","-1,43","27,40","28,17","289,04K"
"19/01/2024","27,78","27,97","0,14","27,73","28,18","244,24K"
"18/01/2024","27,92","27,93","0,07","27,72","28,10","249,63K"
"17/01/2024","28,05","27,91","-0,50","27,90","28,07","215,04K"
"16/01/2024","28,50","28,05","-1,51","28,03","28,50","231,50K"
"15/01/2024","28,30","28,48","1,21","28,10","28,48","240,30K"
"12/01/2024","28,26","28,14","-0,25","27,92","28,34","198,42K"
"11/01/2024","28,30","28,21","-0,07","28,14","28,48","210,80K"
"10/01/2024","28,20","28,23","0,11","28,10","28,44","242,39K"
"09/01/2024","28,32","28,20","-0,14","27,92","28,32","219,54K"
"08/01/2024","28,47","28,24","-0,35","28,23","28,53","307,97K"
"05/01/2024","27,93","28,34","1,40","27,88","28,65","305,90K"
"04/01/2024","28,43","27,95","-2,07","27,93","28,45","289,52K"
"03/01/2024","28,56","28,54","-0,21","28,32","28,63","301,38K"
"02/01/2024","28,73","28,60","-0,73","28,31","28,73","446,89K"
"28/12/2023","28,88","28,81","0,10","28,62","28,99","294,12K"
"27/12/2023","28,64","28,78","1,23","28,57","28,89","216,05K"
"26/12/2023","28,31","28,43","0,53","28,30","28,69","255,37K"
"22/12/2023","28,12","28,28","0,82","28,07","28,67","238,62K"
"21/12/2023","28,42","28,05","-0,14","27,86","28,42","191,89K"
"20/12/2023","28,13","28,09","0,32","27,91","28,16","212,28K"
"19/12/2023","28,20","28,00","-0,14","28,00","28,52","258,77K"
"18/12/2023","27,95","28,04","0,50","27,94","28,24","269,65K"
"15/12/2023","28,12","27,90","-1,34","27,90","28,39","283,92K"
"14/12/2023","27,83","28,28","1,62","27,83","28,39","312,13K"
"13/12/2023","27,11","27,83","2,39","26,96","28,08","257,41K"
"12/12/2023","27,09","27,18","0,89","26,83","27,18","174,73K"
"11/12/2023","27,18","26,94","-1,21","26,94","27,27","226,55K"
"08/12/2023","26,97","27,27","1,75","26,75","27,41","208,74K"
"07/12/2023","26,79","26,80","0,75","26,50","26,91","190,07K"
"06/12/2023","27,31","26,60","-2,60","26,60","27,47","244,62K"
"05/12/2023","27,07","27,31","1,90","26,97","27,38","242,77K"
"04/12/2023","26,97","26,80","-0,37","26,71","27,15","249,52K"
"01/12/2023","26,75","26,90","-0,15","26,62","26,94","242,30K"
"30/11/2023","26,49","26,94","1,16","26,40","27,00","223,99K"
"29/11/2023","26,24","26,63","1,72","26,23","26,78","195,55K"
"28/11/2023","26,16","26,18","0,27","26,03","26,34","157,87K"
"27/11/2023","26,17","26,11","-0,38","26,00","26,32","176,58K"
"24/11/2023","26,20","26,21","0,38","25,93","26,21","177,57K"
"23/11/2023","26,00","26,11","0,27","25,80","26,20","183,02K"
"22/11/2023","25,87","26,04","1,72","25,76","26,12","219,08K"
"21/11/2023","25,79","25,60","-0,74","25,60","25,93","198,07K"
"20/11/2023","25,71","25,79","1,54","25,50","25,95","182,38K"
"17/11/2023","25,57","25,40","-0,86","25,40","25,76","201,76K"
"16/11/2023","25,20","25,62","1,30","25,20","25,75","277,51K"
"14/11/2023","25,02","25,29","5,38","24,77","25,40","208,57K"
"13/11/2023","25,06","24,00","-4,31","24,00","25,06","218,13K"
"10/11/2023","24,83","25,08","1,42","24,83","25,24","211,88K"
"09/11/2023","24,78","24,73","-0,16","24,48","24,96","173,96K"
"08/11/2023","24,55","24,77","0,28","24,45","24,89","152,59K"
"07/11/2023","23,92","24,70","3,39","23,81","24,70","235,42K"
"03/11/2023","23,40","23,89","2,71","23,35","23,94","206,36K"
"01/11/2023","22,83","23,26","2,20","22,76","23,34","179,08K"
"31/10/2023","23,08","22,76","-0,70","22,74","23,12","157,98K"
"30/10/2023","23,33","22,92","-0,65","22,92","23,35","154,26K"
"27/10/2023","23,57","23,07","-2,16","23,07","23,63","136,70K"
"26/10/2023","23,11","23,58","3,01","22,95","23,59","120,86K"
"25/10/2023","23,00","22,89","0,00","22,89","23,63","148,02K"
"24/10/2023","23,08","22,89","-0,69","22,82","23,29","156,78K"
"23/10/2023","23,09","23,05","-0,22","22,90","23,24","135,94K"
"20/10/2023","23,13","23,10","-0,94","22,87","23,25","139,64K"
"19/10/2023","23,17","23,32","1,08","22,87","23,40","141,75K"
"18/10/2023","23,40","23,07","-1,49","22,88","23,43","180,17K"
"17/10/2023","23,47","23,42","-0,93","23,24","23,53","175,69K"
"16/10/2023","23,62","23,64","-0,21","23,42","23,77","174,86K"
"13/10/2023","23,71","23,69","-0,63","23,48","23,85","180,62K"
"11/10/2023","23,60","23,84","1,02","23,54","23,84","142,60K"
"10/10/2023","23,42","23,60","1,37","23,42","23,79","177,50K"
"09/10/2023","23,60","23,28","-1,19","23,27","23,60","199,92K"
"06/10/2023","23,40","23,56","1,90","22,99","23,83","199,84K"
"05/10/2023","23,00","23,12","0,17","22,96","23,50","184,71K"
"04/10/2023","22,62","23,08","1,63","22,62","23,09","155,71K"
"03/10/2023","22,89","22,71","-0,57","22,54","22,89","214,37K"
"02/10/2023","23,04","22,84","-0,44","22,67","23,04","246,62K"
"29/09/2023","23,15","22,94","-0,48","22,93","23,28","171,74K"
"28/09/2023","22,67","23,05","2,76","22,52","23,17","182,41K"
"27/09/2023","22,71","22,43","-1,54","22,43","22,89","185,20K"
"26/09/2023","22,97","22,78","-0,96","22,64","22,97","189,11K"
"25/09/2023","22,94","23,00","0,83","22,83","23,04","172,13K"
"22/09/2023","23,12","22,81","-1,47","22,81","23,27","177,94K"
"21/09/2023","23,57","23,15","-1,78","23,01","23,60","208,84K"
"20/09/2023","23,44","23,57","0,17","23,44","23,77","182,54K"
"19/09/2023","23,42","23,53","-0,84","23,32","23,61","180,52K"
"18/09/2023","23,70","23,73","1,15","23,52","23,80","261,79K"
"15/09/2023","23,57","23,46","-0,26","23,43","23,80","223,56K"
"14/09/2023","23,61","23,52","-0,34","23,28","23,69","183,07K"
"13/09/2023","23,35","23,60","1,24","23,31","23,75","159,79K"
"12/09/2023","23,19","23,31","0,34","23,19","23,45","198,55K"
"11/09/2023","22,86","23,23","1,80","22,86","23,33","180,17K"
"08/09/2023","22,82","22,82","-0,31","22,70","23,09","219,53K"
"06/09/2023","22,99","22,89","-0,78","22,69","23,12","231,69K"
"05/09/2023","23,34","23,07","-0,86","23,00","23,37","223,20K"
"04/09/2023","23,58","23,27","-0,73","23,22","23,59","230,20K"
"01/09/2023","23,32","23,44","-0,42","23,27","23,68","202,36K"
"31/08/2023","23,62","23,54","0,17","23,17","23,88","178,37K"
"30/08/2023","23,97","23,50","-1,96","23,50","24,17","177,90K"
"29/08/2023","23,85","23,97","0,71","23,85","24,39","221,68K"
"28/08/2023","23,20","23,80","2,15","23,00","23,81","203,53K"
"25/08/2023","23,40","23,30","0,00","23,00","23,42","260,38K"
"24/08/2023","23,70","23,30","-1,94","23,30","23,77","143,44K"
"10/08/2023","23,87","23,76","0,85","23,75","24,12","162,16K"
"09/08/2023","24,08","23,56","-3,05","23,50","24,33","273,59K"
"08/08/2023","24,34","24,30","-0,25","23,80","24,49","269,38K"
"07/08/2023","24,35","24,36","-0,12","24,25","24,62","205,86K"
"04/08/2023","24,63","24,39","-0,45","24,18","24,83","229,09K"
"03/08/2023","24,78","24,50","-1,92","24,50","25,10","191,61K"
"02/08/2023","24,72","24,98","0,52","24,55","24,98","196,45K"
"01/08/2023","24,72","24,85","0,08","24,40","24,85","233,32K"
"31/07/2023","24,92","24,83","0,65","24,64","25,04","217,81K"
"28/07/2023","24,49","24,67","-0,24","24,49","24,84","147,93K"
"27/07/2023","24,94","24,73","-0,88","24,50","25,00","154,66K"
"26/07/2023","24,93","24,95","-0,12","24,70","25,03","182,32K"
"25/07/2023","24,92","24,98","1,05","24,72","25,24","188,72K"
"24/07/2023","25,10","24,72","-2,49","24,72","25,43","249,36K"
