MCI;Contrato
30478162;9479
30478162;116213898
30478162;129597760
30478162;985553633
30704138;124093342
31111758;174411180
31111758;174411490
32248475;707200237
32411400;22736
32411400;133932318
32411400;142973884
33060081;2690338
33060081;420407978
33657747;7357
33657747;154011716
33870598;102174325
33878365;124618304
33899140;907431940
33899140;913068465
33960680;10582
33960680;120772782
33960680;131176088
33960680;132579708
33960680;149979391
33991484;91664352
33991484;159644253
34007359;63927
34007359;114659691
34007359;134755119
34007359;136014879
34007359;153239182
34267636;119514694
34350217;91595037
34497548;919701819
34617216;116140889
34640093;65471
34640093;826300450
36381727;697806304
36462044;174410556
101465184;87311849
101465184;87311873
101465184;103583451
101465184;976937793
101465184;988844179
103555211;105881255
103555211;106266513
103555211;111730532
103555211;114933109
103555211;116757419
103555211;124384406
103555211;124499812
103555211;127059189
103555211;986990806
103964653;849200548
104314440;29457428
105102814;491604115
106094418;1011
106094418;117627740
106094418;147144196
106499318;440000701
112499893;9440
112499893;85458492
112499893;581100577
112703548;105299279
112703548;114131622
112703548;114509807
112703548;133957710
112703548;983686677
112974144;126611679
114191615;155906674
114646293;64608008
114646293;64608009
114748397;68739
114748397;155438490
114748397;356110640
114748397;356110642
114748397;356110768
114748397;356110858
115102499;157036064
115102499;432809581
116629425;41558
116629425;157490508
116629425;680504513
116629425;680504744
116629425;680504750
118357607;174411592
118747250;34182
118747250;158316020
118747250;683205255
122118417;1803699
122118417;1803700
122310174;119518184
122310174;160547210
122773746;33308
122773746;155906670
122773746;155906671
200718170;94916672
200719313;29810
200719313;123118498
200719313;124624872
200719313;988355532
200932545;29901874
200935534;37726640
200935534;99718351
200980407;638844
200980407;102635130
200980407;107620555
200980407;108138101
200980407;108755285
200980407;109837338
200980407;110792668
200980407;110989108
200980407;111840801
200980407;113638632
200980407;113743281
200980407;113990804
200980407;114778159
200980407;115237902
200980407;126611397
200980407;126817172
200980407;130599418
200980407;130733334
200980407;131959969
200980407;133363100
200980407;133461876
200980407;133857005
200980407;133991516
200980407;134783244
200980407;134860866
200980407;135772261
200980407;135870043
201038084;124061174
201038084;136770051
201038084;997600542
201190400;834082
201210690;138926577
201211563;38746576
201257157;111139146
201322779;69683157
201331188;56997
201331188;37731289
201331188;37731675
201331188;123720474
202690988;20678282
202690988;34948072
202798885;136852833
202836583;25726
202836583;30015178
202836583;30016003
202996617;905137
202996617;58570392
202996617;103673243
202996617;112566779
203219348;496903701
203301477;86907671
203380818;103953020
203380818;142527970
203380818;970050671
203446500;959217562
203446500;959990393
203446500;961754977
203446500;961855529
203446500;962208906
203446500;967359726
203446500;968256800
203446500;971038909
203814152;90335
203814152;536916
203814152;4001477
203814152;68314356
203814152;103044628
203814152;983988129
204156103;2002
204156103;974254266
204376617;580900399
204709208;107040424
204709208;111154669
204709208;114225926
204715681;967327288
204715681;976346510
204715681;983794653
204715681;990219909
204715681;997600884
204963568;107448634
204963568;108790965
204963568;109443786
204963568;112505564
204963568;115317889
204963568;116095027
204963568;116390854
204963568;119257403
204963568;121392649
204963568;128105887
205069684;101554139
205155172;18034
205161497;30317
205161497;72488897
205161497;107840184
205161497;108706124
205161497;111630468
205161497;112955306
205161497;987827496
205260028;32183821
205479535;580900460
205552839;71810576
205719029;113180410
205719029;123250358
206426993;15209
206426993;126904752
206426993;127222768
206426993;128942761
206462721;37458
206462721;104608085
206462721;104608117
206462721;104608148
206462721;160529547
206462721;160546050
206719872;75211293
206813757;280711711
207235834;111884533
207686204;120506702
207709859;74821
207709859;152909806
207709859;152909807
207709859;152909910
207796324;126606382
207911375;119514304
208042244;849200354
208771631;74406344
208771631;82909516
209614877;697805119
