MCI	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	detalhe
30478162	9479	116213898	129597760	985553633	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9479 - 116213898 - 129597760 - 985553633 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
30704138	124093342	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	124093342 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
31111758	174411180	174411490	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	174411180 - 174411490 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
32248475	707200237	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	707200237 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
32411400	22736	133932318	142973884	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	22736 - 133932318 - 142973884 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
33060081	2690338	420407978	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2690338 - 420407978 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
33657747	7357	154011716	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7357 - 154011716 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
33870598	102174325	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	102174325 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
33878365	124618304	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	124618304 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
33899140	907431940	913068465	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	907431940 - 913068465 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
33960680	10582	120772782	131176088	132579708	149979391	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10582 - 120772782 - 131176088 - 132579708 - 149979391 - nan - nan - nan - nan - nan - nan - nan - nan - nan
33991484	91664352	159644253	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	91664352 - 159644253 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
34007359	63927	114659691	134755119	136014879	153239182	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	63927 - 114659691 - 134755119 - 136014879 - 153239182 - nan - nan - nan - nan - nan - nan - nan - nan - nan
